title	authors	journal	year	pmid	pmcid	doi
Interpretable deep learning for the prognosis of long-term functional outcome post-stroke using acute diffusion weighted imaging.	Moulton E, Valabregue R, Piotin M, Marnat G, Saleme S, Lapergue B, Lehericy S, Clarencon F, Rosso C.	Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism	2023	36169033	PMC9903217	10.1177/0271678x221129230
Knee Implant Identification by Fine-Tuning Deep Learning Models.	Sharma S, Batta V, Chidambaranathan M, Mathialagan P, Mani G, Kiruthika M, Datta B, Kamineni S, Reddy G, Masilamani S, Vijayan S, Amanatullah DF.	Indian journal of orthopaedics	2021	34824729	PMC8586384	10.1007/s43465-021-00529-9
Predicting Neuromuscular Engagement to Improve Gait Training with a Robotic Ankle Exoskeleton.	Harshe K, Williams JR, Hocking TD, Lerner ZF.	IEEE robotics and automation letters	2023	38283263	PMC10812839	10.1109/lra.2023.3291919
Deep Learning for Basal Cell Carcinoma Detection for Reflectance Confocal Microscopy.	Campanella G, Navarrete-Dechent C, Liopyris K, Monnier J, Aleissa S, Minhas B, Scope A, Longo C, Guitera P, Guitera P, Pellacani G, Kose K, Halpern AC, Fuchs TJ, Jain M.	The Journal of investigative dermatology	2022	34265329	PMC9338423	10.1016/j.jid.2021.06.015
GyneScan: an improved online paradigm for screening of ovarian cancer via tissue characterization.	Acharya UR, Sree SV, Kulshreshtha S, Molinari F, En Wei Koh J, Saba L, Suri JS.	Technology in cancer research & treatment	2014	24325128	PMC4527478	10.7785/tcrtexpress.2013.600273
Artificial intelligence and visual inspection in cervical cancer screening.	Nakisige C, de Fouw M, Kabukye J, Sultanov M, Nazrui N, Rahman A, de Zeeuw J, Koot J, Rao AP, Prasad K, Shyamala G, Siddharta P, Stekelenburg J, Beltman JJ.	International journal of gynecological cancer : official journal of the International Gynecological Cancer Society	2023	37666527	PMC10579490	10.1136/ijgc-2023-004397
Artificial Intelligence in the Prediction of Gastrointestinal Stromal Tumors on Endoscopic Ultrasonography Images: Development, Validation and Comparison with Endosonographers.	Lu Y, Wu J, Hu M, Zhong Q, Er L, Shi H, Cheng W, Chen K, Liu Y, Qiu B, Xu Q, Lai G, Wang Y, Luo Y, Mu J, Zhang W, Zhi M, Sun J.	Gut and liver	2023	36700302	PMC10651383	10.5009/gnl220347
Use of Deep-Learning Genomics to Discriminate Healthy Individuals from Those with Alzheimer's Disease or Mild Cognitive Impairment.	Li L, Yang Y, Zhang Q, Wang J, Jiang J, Neuroimaging Initiative AD.	Behavioural neurology	2021	34336000	PMC8298161	10.1155/2021/3359103
Detection of Mild Cognitive Impairment From Non-Semantic, Acoustic Voice Features: The Framingham Heart Study.	Ding H, Lister A, Karjadi C, Au R, Lin H, Bischoff B, Hwang PH.	JMIR aging	2024	39173144	PMC11377909	10.2196/55126
<i>In silico</i> prediction of chemical genotoxicity using machine learning methods and structural alerts.	Fan D, Yang H, Li F, Sun L, Di P, Li W, Tang Y, Liu G.	Toxicology research	2018	30090576	PMC6062245	10.1039/c7tx00259a
Predictors of ccf-mtDNA reactivity to acute psychological stress identified using machine learning classifiers: A proof-of-concept.	Trumpff C, Marsland AL, Sloan RP, Kaufman BA, Picard M.	Psychoneuroendocrinology	2019	31112904	PMC6637411	10.1016/j.psyneuen.2019.05.001
Quantitative Expression of Latent Disease Factors in Individuals Associated with Psychopathology Dimensions and Treatment Response.	Zhao S, Lv Q, Zhang G, Zhang J, Wang H, Zhang J, Wang M, Wang Z.	Neuroscience bulletin	2024	38842612	PMC11607304	10.1007/s12264-024-01224-z
Death after discharge: prognostic model of 1-year mortality in traumatic brain injury patients undergoing decompressive craniectomy.	Cui W, Ge S, Shi Y, Wu X, Luo J, Lui H, Zhu G, Guo H, Feng D, Qu Y.	Chinese neurosurgical journal	2021	33879254	PMC8058982	10.1186/s41016-021-00242-4
Optimizing a machine learning based glioma grading system using multi-parametric MRI histogram and texture features.	Zhang X, Yan LF, Hu YC, Li G, Yang Y, Han Y, Sun YZ, Liu ZC, Tian Q, Han ZY, Liu LD, Hu BQ, Qiu ZY, Wang W, Cui GB.	Oncotarget	2017	28599282	PMC5564607	10.18632/oncotarget.18001
Immediate Impact of the COVID-19 Pandemic on Heart and Kidney Transplantation and the Recovery Trends in 30 Developed and Less-Developed Countries.	Islam M, Edwards B, Goddard J, Kuddus RH.	Annals of transplantation	2024	38225813	PMC10802079	10.12659/aot.942188
An Automated Lightweight Deep Neural Network for Diagnosis of COVID-19 from Chest X-ray Images.	Nayak SR, Nayak J, Sinha U, Arora V, Ghosh U, Satapathy SC.	Arabian journal for science and engineering	2021	34395157	PMC8352151	10.1007/s13369-021-05956-2
Introducing the Futile Recanalization Prediction Score (FRPS): A Novel Approach to Predict and Mitigate Ineffective Recanalization after Endovascular Treatment of Acute Ischemic Stroke.	Shen H, Huasen BB, Killingsworth MC, Bhaskar SMM.	Neurology international	2024	38921949	PMC11206671	10.3390/neurolint16030045
